Date,Cases,Deaths
11/4/2020,1000,10
11/5/2020,1198,10
11/6/2020,1541,12
11/7/2020,1410,7
11/8/2020,1081,11
11/9/2020,1375,9
11/10/2020,1338,12
11/11/2020,1714,16
11/12/2020,1477,12
11/13/2020,1869,12
11/14/2020,2321,20
11/15/2020,1840,9
11/16/2020,1726,7
11/17/2020,2149,26
11/18/2020,2018,16
11/19/2020,2910,21
11/20/2020,2353,26
11/21/2020,2885,17
11/22/2020,2168,19
11/23/2020,1658,14
11/24/2020,1667,33
11/25/2020,2697,37
11/26/2020,2319,29
11/27/2020,2378,22
11/28/2020,1590,33
11/29/2020,1999,23
11/30/2020,1923,16
12/1/2020,2765,32
12/2/2020,2220,42
12/3/2020,2044,49
12/4/2020,3792,26
12/5/2020,3193,30
12/6/2020,2643,26
12/7/2020,2302,19
12/8/2020,2632,51
12/9/2020,2692,46
12/10/2020,3202,50
12/11/2020,2616,52
12/12/2020,3538,36
12/13/2020,2638,17
12/14/2020,2314,25
12/15/2020,2401,64
12/16/2020,2405,64
12/17/2020,2217,49
12/18/2020,2569,39
12/19/2020,2201,54
12/20/2020,2054,36
12/21/2020,2265,23
12/22/2020,2324,48
12/23/2020,2465,49
12/24/2020,2866,59
12/25/2020,2432,32
12/26/2020,2280,21
12/27/2020,1758,32
12/28/2020,1985,28
12/29/2020,1878,63
12/30/2020,2628,45
12/31/2020,2973,47
1/1/2021,3557,47
1/2/2021,2952,25
1/3/2021,2148,27
1/4/2021,2483,33
1/5/2021,1956,55
1/6/2021,3146,50
1/7/2021,2970,41
1/8/2021,3732,43
1/9/2021,3758,30
1/10/2021,3310,26
1/11/2021,3012,29
1/12/2021,2665,66
1/13/2021,2516,37
1/14/2021,2948,45
1/15/2021,2924,45
1/16/2021,3292,47
1/17/2021,2414,26
1/18/2021,1769,29
1/19/2021,1972,54
1/20/2021,2167,39
1/21/2021,2166,46
1/22/2021,2396,57
1/23/2021,2392,45
1/24/2021,2145,28
1/25/2021,1686,35
1/26/2021,1482,63
1/27/2021,1939,33
1/28/2021,2190,41
1/29/2021,1880,39
1/30/2021,2097,31
1/31/2021,1747,20
2/1/2021,1163,27
2/2/2021,905,34
2/3/2021,942,32
2/4/2021,1554,31
2/5/2021,1547,36
2/6/2021,1500,42
2/7/2021,1566,20
